Flight Index,Delay (seconds)
3U8471,0
9C6475,0
AQ1161,0
ZH8847,0
8L9951,7501
3U8861,0
CA2911,0
ZH8355,0
9C7158,0
EK309,0
JD5645,0
GJ8133,0
TV6011,5740
GJ8561,0
KR9737,0
AQ1149,0
TV9883,0
MU5273,0
8L9977,0
DR653A,0
PN6229,11401
CA1215,0
PN6361,0
3U3109,5269
HU7068,0
CZ8732,0
FM9526,0
MU9986,0
MU6895,0
FM9141,0
9H8305,0
CA1403,0
CZ3420,0
CA4171,0
DZ6251,0
MU6955,0
3U3311,0
GJ8074,0
TV9813,0
MU5649,0
QW6217,0
MF8341,0
ZH9169,0
CZ5988,0
JD5912,0
GJ8919,0
DZ6235,0
PN6327,0
HU7466,0
3U8205,0
RY6657,7841
G54423,0
ZH9599,0
MU5233,13369
CA1851,3717
9C6772,0
FM837,5045
SC4838,0
KN5221,0
SC4765,0
QW9845,0
CZ347Z,0
PN6417,0
9C8737,0
UQ3505,0
HO1171,0
MU2243,0
MU727,0
SC8442,0
3U6355,0
MU5255,0
MU2183,0
MU5578,0
CZ6521,0
HU7225,0
CZ6753,0
CZ3672,0
MU6943,0
SC4810,0
3K817,0
ZH9868,0
ZH9116,17648
CZ3859,0
9C8815,0
CA1251,0
MF8518,0
UQ3531,0
3U3169,0
CA1687,0
3U6993,0
CZ6374,0
3U3323,0
CA1453,0
QW6009,0
MU6949,0
3U6660,0
CZ8917,0
3U3457,0
MU5332,0
CZ3171,0
CA2677,0
SC8819,0
CA4368,10878
EU2297,0
CA1141,0
CZ5335,0
CZ573R,0
CZ6773,0
ZH8087,0
9C8569,0
SC8408,0
CA1369,0
A67227,0
JD5671,0
MU5720,0
SC8423,0
MU5461,0
MU2867,0
MU765,0
FM9137,0
DR6519,0
HU7866,0
SC8710,0
CA2501,0
JD5227,0
MU6731,2242
SC7613,0
MU2143,0
MF8501,0
CZ6181,0
GX8819,3225
GJ8651,0
LT1303,0
AQ1142,5451
FM9322,0
MU6470,0
MU2871,1838
FM9371,0
CZ3370,0
PN6287,17405
GY7231,0
MU2731,0
3U8249,0
GS6563,0
MU6305,0
3U8033,0
3U6673,0
MF8021,0
FM9557,0
ZH8289,0
MU5050,0
9C8809,0
KY3021,0
9C8835,0
3U8293,0
